Program Counter (Line Number),Call Stack,Micro Queue,Promises,Macro Queue,Event Registry,Console Output
5,[ main() ],[ ],{ promise@5 },[ ],{ },
8,[ main() ],[ ],"{ promise@5, promise@8 }",[ ],{ },
22,[ main() ],[ ],"{ promise@5, promise@8 }",[ ],{ ev1.run:function@22 },
26,[ main() ],[ ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
30,[ main() ],[ ],"{ promise@5, promise@8 }",[ function@26(0) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8 }",[ function@26(0) ],"{ ev1.run:function@22, ev2.run:function@26 }",
26,[ function@26(0) ],[ ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
27,[ function@26(0) ],[ ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 0 received by ev2
28,[ function@26(0) ],[ promise@5.resolve(0) = (0) => foo(0) ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ promise@5.resolve(0) = (0) => foo(0) ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ promise@5.resolve(0) = (0) => foo(0) ],[ ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
11,"[ promise@5.resolve(0) = (0) => foo(0), foo(0) ]",[ ],"{ promise@5, promise@8 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
12,"[ promise@5.resolve(0) = (0) => foo(0), foo(0) ]",[ ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
16,"[ promise@5.resolve(0) = (0) => foo(0), foo(0) ]",[ ],"{ promise@5, promise@8, promise@28 }",[ function@22(1) ],"{ ev1.run:function@22, ev2.run:function@26 }",
28,[ ],[ ],"{ promise@5, promise@8, promise@28 }",[ function@22(1) ],"{ ev1.run:function@22, ev2.run:function@26 }",
eof,[ ],[ ],"{ promise@5, promise@8, promise@28 }",[ function@22(1) ],"{ ev1.run:function@22, ev2.run:function@26 }",
22,[ function@22(1) ],[ ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",
23,[ function@22(1) ],[ ],"{ promise@5, promise@8, promise@28 }",[ ],"{ ev1.run:function@22, ev2.run:function@26 }",data 1 received by ev1
